iter	RMSE
0	15.37531007
1	15.12241093
2	14.87670958
3	14.6657728
4	14.44027986
5	14.25666007
6	14.06773074
7	13.88836778
8	13.7010378
9	13.48849476
10	13.30967715
11	13.11726181
12	12.94057855
13	12.79270587
14	12.60743138
15	12.44609879
16	12.23803797
17	12.07191369
18	11.87275631
19	11.6904759
20	11.54976014
21	11.3869256
22	11.24515915
23	11.09501628
24	10.93831508
25	10.81641482
26	10.66189756
27	10.49762233
28	10.35275391
29	10.22829085
30	10.11219034
31	9.981342413
32	9.862009192
33	9.749988023
34	9.619590891
35	9.503288674
36	9.377549968
37	9.282173791
38	9.165488173
39	9.061654912
40	8.964123971
41	8.869490074
42	8.761371782
43	8.668720352
44	8.56864456
45	8.477673494
46	8.392035738
47	8.313052713
48	8.225916692
49	8.151897831
50	8.067223086
51	7.973530847
52	7.903034518
53	7.823848658
54	7.744385527
55	7.66697339
56	7.600558046
57	7.548061566
58	7.480767546
59	7.420987118
60	7.352119969
61	7.286591924
62	7.225381394
63	7.162035585
64	7.104614955
65	7.048636804
66	6.992645714
67	6.948038139
68	6.889021338
69	6.826137532
70	6.766825912
71	6.72174142
72	6.66897137
73	6.625972421
74	6.584467288
75	6.52828712
76	6.486509035
77	6.437728301
78	6.389245303
79	6.339932328
80	6.300657188
81	6.269390956
82	6.247223976
83	6.210067255
84	6.167687591
85	6.129114437
86	6.091112672
87	6.05435497
88	6.008653814
89	5.978304685
90	5.949387817
91	5.918794735
92	5.891445238
93	5.866565526
94	5.828405564
95	5.798181293
96	5.759150136
97	5.724268416
98	5.697454832
99	5.661753892
100	5.641808233
101	5.61459689
102	5.584392166
103	5.557244499
104	5.531559304
105	5.503041125
106	5.474778999
107	5.446848312
108	5.42092755
109	5.402511575
110	5.375211262
111	5.349804769
112	5.331728037
113	5.304684076
114	5.278193667
115	5.25749587
116	5.240605685
117	5.219866857
118	5.19791063
119	5.169304617
120	5.150556809
121	5.13303162
122	5.108727208
123	5.087271693
124	5.071822329
125	5.055532162
126	5.038928326
127	5.022039195
128	5.005756436
129	4.984512947
130	4.961492205
131	4.939884266
132	4.916750603
133	4.901219107
134	4.884076324
135	4.868130837
136	4.853219017
137	4.835723881
138	4.820981729
139	4.802254922
140	4.78493958
141	4.770357708
142	4.75328865
143	4.735612227
144	4.731803263
145	4.720233084
146	4.708357827
147	4.692711964
148	4.678467429
149	4.667798593
150	4.656975921
151	4.641008798
152	4.620434502
153	4.605551444
154	4.598631667
155	4.587877294
156	4.581447576
157	4.570783424
158	4.5591588
159	4.54549484
160	4.537272806
161	4.525046951
162	4.510902032
163	4.500943338
164	4.482697093
165	4.472135914
166	4.461617489
167	4.454349557
168	4.447402615
169	4.437240674
170	4.42289823
171	4.407600437
172	4.396177078
173	4.382311174
174	4.373860358
175	4.366817973
176	4.356790332
177	4.346532859
178	4.337564413
179	4.323031515
180	4.316646705
181	4.302809791
182	4.291905784
183	4.282277493
184	4.273027137
185	4.260683563
186	4.252945383
187	4.241913809
188	4.22781805
189	4.222456883
190	4.215155012
