iter	Passed	Remaining
0	2	282
1	5	247
2	7	244
3	14	343
4	18	349
5	20	324
6	22	295
7	23	271
8	24	251
9	26	236
10	27	222
11	28	211
12	30	201
13	31	193
14	32	186
15	34	179
16	35	173
17	37	169
18	38	164
19	39	159
20	41	154
21	42	150
22	43	146
23	45	142
24	46	139
25	48	137
26	49	134
27	50	130
28	52	127
29	53	124
30	54	121
31	56	119
32	57	116
33	58	113
34	59	110
35	60	108
36	62	106
37	64	105
38	66	104
39	68	102
40	69	99
41	70	97
42	71	95
43	73	93
44	74	90
45	75	89
46	77	87
47	78	84
48	79	82
49	80	80
50	82	78
51	83	76
52	84	74
53	85	72
54	86	71
55	88	69
56	89	67
57	91	66
58	92	64
59	93	62
60	94	60
61	95	58
62	96	56
63	98	55
64	99	53
65	100	51
66	101	50
67	103	48
68	104	46
69	105	45
70	107	43
71	108	42
72	109	40
73	110	38
74	112	37
75	113	35
76	114	34
77	115	32
78	117	31
79	118	29
80	119	28
81	121	26
82	122	25
83	123	23
84	125	22
85	126	20
86	127	19
87	129	17
88	133	16
89	137	15
90	139	13
91	140	12
92	142	10
93	144	9
94	145	7
95	146	6
96	148	4
97	149	3
98	150	1
99	151	0
